dp_city_id	dp_city_name
1240	延津县
1241	封丘县
1242	长垣县
1243	浚县
1244	淇县
1245	林州市
1246	安阳县
1247	汤阴县
1248	滑县
1249	内黄县
1250	清丰县
1251	南乐县
1252	范县
1253	台前县
1254	濮阳县
1255	杞县
1256	通许县
1257	尉氏县
1258	开封县
1258	祥符区
1259	兰考县
1260	永城市
1261	虞城县
1262	民权县
1263	宁陵县
1264	睢县
1265	夏邑县
1266	柘城县
1267	禹州市
1268	长葛市
1269	许昌县
1270	鄢陵县
1271	襄城县
1272	舞阳县
1273	临颍县
1274	舞钢市
1275	汝州市
1276	宝丰县
1277	叶县
1278	鲁山县
1279	郏县
1280	邓州市
1281	南召县
1282	方城县
1283	西峡县
1284	镇平县
1285	内乡县
1286	淅川县
1287	社旗县
1288	唐河县
1289	新野县
1290	桐柏县
1291	息县
1292	淮滨县
1293	光山县
1294	固始县
1295	商城县
1296	罗山县
1297	新县
1298	项城市
1299	扶沟县
1300	西华县
1301	商水县
1302	太康县
1303	鹿邑县
1304	郸城县
1305	淮阳县
1306	沈丘县
1307	确山县
1308	泌阳县
1309	遂平县
1310	西平县
1311	上蔡县
1312	汝南县
1313	平舆县
1314	新蔡县
1315	正阳县
1316	丹江口市
1317	郧县
1317	郧阳区
1318	竹山县
1319	房县
1320	郧西县
1321	竹溪县
1322	老河口市
1323	枣阳市
1324	宜城市
1325	南漳县
1326	谷城县
1327	保康县
1328	钟祥市
1329	沙洋县
1330	京山县
1331	应城市
1332	安陆市
1333	汉川市
1334	孝昌县
1335	大悟县
1336	云梦县
1337	麻城市
1338	武穴市
1339	红安县
1340	罗田县
1341	英山县
1342	浠水县
1343	蕲春县
1344	黄梅县
1345	团风县
1346	大冶市
1347	阳新县
1348	赤壁市
1349	嘉鱼县
1350	通城县
1351	崇阳县
1352	通山县
1353	石首市
1354	洪湖市
1355	松滋市
1356	江陵县
1357	公安县
1358	监利县
1359	枝江市
1360	宜都市
1361	当阳市
1362	远安县
1363	兴山县
1364	秭归县
1365	长阳土家族自治县
1366	五峰土家族自治县
1367	广水市
1368	恩施市
1369	利川市
1370	建始县
1371	巴东县
1372	宣恩县
1373	咸丰县
1374	来凤县
1375	鹤峰县
1376	浏阳
1377	长沙县
1378	望城县
1379	宁乡县
1380	慈利县
1381	桑植县
1382	津市市
1383	安乡县
1384	汉寿县
1385	澧县
1386	临澧县
1387	桃源县
1388	石门县
1389	沅江市
1390	南县
1391	桃江县
1392	安化县
1393	汨罗市
1394	临湘市
1395	岳阳县
1396	华容县
1397	湘阴县
1398	平江县
1399	醴陵市
1400	株洲县
1401	攸县
1402	茶陵县
1403	炎陵县
1404	湘乡市
1405	韶山市
1406	湘潭县
1407	常宁市
1408	耒阳市
1409	衡阳县
1410	衡南县
1411	衡山县
1412	衡东县
1413	祁东县
1414	资兴市
1415	桂阳县
1416	永兴县
1417	宜章县
1418	嘉禾县
1419	临武县
1420	汝城县
1421	桂东县
1422	安仁县
1423	东安县
1424	道县
1425	宁远县
1426	江永县
1427	蓝山县
1428	新田县
1429	双牌县
1430	祁阳县
1431	江华瑶族自治县
1432	武冈市
1433	邵东县
1434	邵阳县
1435	新邵县
1436	隆回县
1437	洞口县
1438	绥宁县
1439	新宁县
1440	城步苗族自治县
1441	洪江市
1442	沅陵县
1443	辰溪县
1444	溆浦县
1445	中方县
1446	会同县
1447	麻阳苗族自治县
1448	新晃侗族自治县
1449	芷江侗族自治县
1450	靖州苗族侗族自治县
1451	通道侗族自治县
1452	冷水江市
1453	涟源市
1454	双峰县
1455	新化县
1456	吉首市
1457	泸溪县
1458	凤凰县
1459	花垣县
1460	保靖县
1461	古丈县
1462	永顺县
1463	龙山县
1464	英德市
1465	连州市
